N,N2,N3,M,All
,269.47,258.56,248.58,205.13
,222.27,263.19,251.57,219.33
,247.25,219.97,214.31,222.19
,251.81,242.81,255.36,221.73
,259.26,213.85,248.97,224.18
,233.33,251.52,232.66,218.56
,256.6,216.59,251.52,220.57
,227.39,253.74,261.13,220.21
,239.66,228.3,233.66,222.27
,221.26,241.17,206.62,221.26
,222.87,249.5,253.98,223.7
,252.77,207.23,242.74,205.99
,264.47,261.68,230.59,223.29
,235.57,237.36,214.34,224.95
,244.12,250.49,262.94,224.49
,259.26,238.56,252.14,227.13
,232.99,246.65,262.6,227.4
,244.91,251.1,235.96,229.28
,238.25,221.17,235.23,224.99
,232.27,231.32,248.74,228.65
,233.42,229.68,222.19,227.15
,236.74,230.54,232.47,230.54
,215.85,243.12,245.7,206.9
,229.86,228.26,253.15,226.13
,251.13,214.15,237.52,228.65
,250.68,263.58,237.47,226.57
,251.2,216.91,235.51,228.47
,223.7,248.43,246.87,229.7
,235.85,230.74,232.64,230.47
,,254.34,254.73,230.79
,,214.37,233.54,232.12
,,250.61,261.84,226.88
,,246.39,218.2,229.19
,,227.75,263.58,200.38
,,218.5,228.47,229.64
,,249.36,237.87,231.39
,,237.37,240.98,228.27
,,234.87,223.42,231.25
,,249.57,263.19,230.77
,,232.62,261.85,232.76
,,256.94,263.58,227.19
,,252.68,220.82,229.12
,,264.29,218.82,228.86
,,251.41,264.4,230.69
,,262.95,255.13,201.83
,,220.37,219.87,230.94
,,258.23,246.27,232.29
,,203.18,219.63,232.52
,,259.39,251.91,234.8
,,242.92,236.17,217.93
,,217.29,251.13,219.4
,,233.33,256.23,219.75
,,208.99,217.55,221.78
,,247.8,205.99,217.9
,,238.25,215.1,220.86
,,218.56,227.18,210.34
,,218.23,237.1,203.53
,,249.56,253.47,219.91
,,230.57,249.49,222.82
,,260.17,202.39,218.73
,,219.31,265.65,221.57
,,225.69,244.73,219.63
,,239.56,216.87,221.62
,,231.16,230.79,221.44
,,266.21,236.98,222.37
,,220.42,250.43,223.42
,,231.21,230.47,224.33
,,237.51,202.69,205.21
,,231.77,237.23,225.34
,,264.93,251.16,227.75
,,202.94,201.97,228.26
,,257.54,252.93,230.8
,,246.73,256.97,227.73
,,219.28,231.34,230.57
,,231.25,251.41,230.14
,,227.15,268.8,232.14
,,239.98,222.37,225.8
,,225.16,203.56,227.53
,,249.25,218.89,202.63
,,204.73,247.8,227.99
,,235.21,249.44,229.95
,,254.24,249.53,229.56
,,262.11,255.21,231.69
,,252.89,232.33,231.21
,,,219.87,233.28
,,,227.75,218.12
,,,205.87,220.37
,,,238.25,220.8
,,,257.43,222.9
,,,213.86,205.36
,,,217.29,219.77
,,,250.53,221.86
,,,231.19,220.98
,,,236.59,223.77
,,,220.42,226.75
,,,216.63,229.3
,,,228.34,227.29
,,,250.12,228.97
,,,211.59,229.68
,,,239.98,230.82
,,,235.12,203.98
,,,229.82,231.2
,,,225.26,232.66
,,,245.79,219.87
,,,252.58,222.16
,,,214.33,222.56
,,,249.66,224.51
,,,256.23,229.21
,,,254.89,231.77
,,,263.13,231.33
,,,243.78,233.28
,,,236.98,207.12
,,,205.87,220.82
,,,252.81,222.63
,,,252.51,229.55
,,,251.25,231.16
,,,219.15,223.52
,,,263.19,232.96
,,,210.71,225.16
,,,222.63,234.68
,,,232.27,219.15
,,,218.23,224.43
,,,239.96,201.47
,,,209.58,223.68
,,,246.5,227.85
,,,201.97,221.33
,,,236.43,224.73
,,,224.3,225.62
,,,229.24,229.17
,,,224.73,221.25
,,,248.17,226.5
,,,204.18,223.49
,,,248.69,227.78
,,,252.27,203.19
,,,214.28,225.5
,,,223.49,226.57
,,,251,229.79
,,,234.53,230.74
,,,202.94,222.24
,,,234.92,227.39
,,,216.37,225.41
,,,267.43,229.68
,,,232.47,224.34
,,,232.59,227.18
,,,225.8,203.19
,,,214.72,229.24
,,,265.4,231.34
,,,249.83,223.21
,,,235.57,227.44
,,,214,225.26
,,,236.84,229.31
,,,245.94,226.58
,,,251.43,228.34
,,,250.48,230.65
,,,267.17,232.2
,,,217.65,204.96
,,,218.89,221.61
,,,247.77,226.7
,,,245.6,224.53
,,,217.19,228.94
,,,232.64,222.56
,,,216.84,225.69
,,,250.61,226.65
,,,247.37,229.86
,,,227.75,223.13
,,,232.86,227.94
,,,233.43,201.15
,,,235.37,204.73
,,,231.39,223.98
,,,240.35,227.91
,,,217.4,226.87
,,,223.34,227.27
,,,206.62,230.31
,,,235.23,231.19
,,,215.19,223.34
,,,234.68,228.28
,,,216.37,226.13
,,,207.65,230.59
,,,226.75,206.43
,,,208.47,224.88
,,,242.79,227.64
,,,263.57,229.82
,,,202.69,231.8
,,,251.57,224.3
,,,224.49,228.56
,,,266.21,225.77
,,,210.44,230.13
,,,216.4,227.12
,,,254.73,228.72
,,,227.39,206.35
,,,218.5,231.31
,,,223.68,232.7
,,,251.91,234.87
,,,229.56,240.16
,,,228.27,238.78
,,,243.44,242.92
,,,251.8,236.89
,,,238.78,239.66
,,,251.3,241.7
,,,215.85,244.5
,,,247.31,208.47
,,,229.28,237.75
,,,238.74,242.79
,,,218.73,239.27
,,,262.94,243.37
,,,248.2,241.17
,,,225.62,241.97
,,,207.23,245.16
,,,218.4,245.94
,,,230.8,238.97
,,,219.64,242.81
,,,203.56,199.68
,,,267.17,240.22
,,,224.18,244.49
,,,233.23,239.93
,,,254.26,242.87
,,,266.93,244.59
,,,227.12,246.27
,,,255.23,238.7
,,,241.57,242.56
,,,251.43,240.41
,,,268.55,244.26
,,,200.66,201.55
,,,232.14,241.33
,,,254.89,242.86
,,,231.16,245.22
,,,257.71,246.76
,,,252.62,238.73
,,,214,243.52
,,,,240.98
,,,,244.73
,,,,239.37
,,,,241.7
,,,,202.93
,,,,243.12
,,,,245.76
,,,,239.56
,,,,244.28
,,,,240.21
,,,,243.96
,,,,241.83
,,,,242.74
,,,,245.7
,,,,246.48
,,,,204.69
,,,,240.34
,,,,245.2
,,,,242.43
,,,,246.5
,,,,241.23
,,,,243.26
,,,,246.16
,,,,247.28
,,,,240.98
,,,,244.61
,,,,200.82
,,,,241.78
,,,,245.6
,,,,243.44
,,,,244.23
,,,,247.17
,,,,248.17
,,,,230.17
,,,,236.24
,,,,233.67
,,,,238.62
,,,,204.5
,,,,231.37
,,,,235.17
,,,,235.92
,,,,239.98
,,,,232.86
,,,,238.78
,,,,233.43
,,,,238.25
,,,,235.97
,,,,237.44
,,,,202.23
,,,,202.69
,,,,240.99
,,,,242.16
,,,,232.33
,,,,238.25
,,,,235.35
,,,,240.23
,,,,234.65
,,,,237.87
,,,,240.99
,,,,242.55
,,,,205.95
,,,,232.96
,,,,237.69
,,,,235.53
,,,,240.5
,,,,237.37
,,,,239.32
,,,,241.57
,,,,244.3
,,,,244.91
,,,,251.58
,,,,200.92
,,,,247.5
,,,,253.53
,,,,245.32
,,,,248.97
,,,,250.62
,,,,253.96
,,,,246.94
,,,,253.26
,,,,247.27
,,,,252.14
,,,,202.94
,,,,249.57
,,,,250.68
,,,,254.26
,,,,255.47
,,,,247.77
,,,,253.64
,,,,249.81
,,,,255.23
,,,,249.12
,,,,251.52
,,,,201.97
,,,,255.47
,,,,256.45
,,,,247.72
,,,,252.68
,,,,249.34
,,,,254.14
,,,,251
,,,,252.58
,,,,256.18
,,,,257.51
,,,,203.93
,,,,231.33
,,,,237.5
,,,,234.55
,,,,239.56
,,,,231.91
,,,,235.97
,,,,236.84
,,,,240.83
,,,,234.25
,,,,240.62
,,,,204.29
,,,,235.3
,,,,239.79
,,,,237.52
,,,,239.6
,,,,242.5
,,,,243.78
,,,,246.73
,,,,253.15
,,,,249.39
,,,,254.34
,,,,205.47
,,,,248.89
,,,,251.41
,,,,255.39
,,,,256.47
,,,,247.8
,,,,252.6
,,,,249.28
,,,,254.13
,,,,250.49
,,,,252.51
,,,,206.23
,,,,255.36
,,,,257.54
,,,,233.74
,,,,240.73
,,,,236.95
,,,,241.9
,,,,234.34
,,,,238.46
,,,,239.24
,,,,243.28
,,,,207.23
,,,,248.54
,,,,254.89
,,,,248.81
,,,,253.65
,,,,251.13
,,,,252.14
,,,,255.87
,,,,256.97
,,,,236.23
,,,,242.46
,,,,204.53
,,,,201.7
,,,,239.51
,,,,244.25
,,,,250.73
,,,,253.1
,,,,257.17
,,,,258.5
,,,,236.89
,,,,241.69
,,,,250.86
,,,,255.62
,,,,203.56
,,,,240.54
,,,,254.24
,,,,245.34
,,,,258.83
,,,,212.45
,,,,213.27
,,,,215.61
,,,,216.64
,,,,213.53
,,,,216.59
,,,,205.87
,,,,214.33
,,,,217.4
,,,,214.37
,,,,215.13
,,,,215.29
,,,,216.22
,,,,217.55
,,,,218.43
,,,,218.4
,,,,219.5
,,,,206.62
,,,,213.48
,,,,214.28
,,,,216.72
,,,,217.68
,,,,215.19
,,,,218.3
,,,,216.23
,,,,219.31
,,,,214.65
,,,,215.48
,,,,202.81
,,,,216.27
,,,,217.73
,,,,217.65
,,,,219.37
,,,,218.59
,,,,220.8
,,,,212.92
,,,,213.86
,,,,215.99
,,,,217.63
,,,,206.12
,,,,214
,,,,217.19
,,,,215.27
,,,,218.73
,,,,214.24
,,,,215.2
,,,,215.18
,,,,216.3
,,,,217.4
,,,,218.4
,,,,204.96
,,,,218.5
,,,,219.31
,,,,214.89
,,,,215.85
,,,,218.2
,,,,218.96
,,,,216.63
,,,,219.77
,,,,216.87
,,,,219.83
,,,,207.89
,,,,215.96
,,,,216.91
,,,,216.91
,,,,218.37
,,,,219.5
,,,,219.87
,,,,219.95
,,,,220.87
,,,,241.78
,,,,243.79
,,,,202.68
,,,,246.13
,,,,246.96
,,,,243.83
,,,,247.37
,,,,244.12
,,,,248.2
,,,,256.94
,,,,259.39
,,,,261.13
,,,,260.88
,,,,204.51
,,,,264.18
,,,,265.38
,,,,264.64
,,,,266.32
,,,,255.44
,,,,257.17
,,,,261.84
,,,,263.31
,,,,257.71
,,,,264.18
,,,,199.95
,,,,203.86
,,,,259.5
,,,,264.74
,,,,257.68
,,,,259.37
,,,,260.82
,,,,261.53
,,,,262.48
,,,,265.65
,,,,264.29
,,,,266.19
,,,,205.74
,,,,256.6
,,,,258.16
,,,,263.13
,,,,263.58
,,,,259.38
,,,,263.75
,,,,260.41
,,,,264.51
,,,,257.43
,,,,259.38
,,,,205.71
,,,,260.77
,,,,261.43
,,,,263.58
,,,,263.78
,,,,264.4
,,,,265.69
,,,,258.9
,,,,261.77
,,,,265.4
,,,,266.27
,,,,207.1
,,,,259.69
,,,,266.12
,,,,262.67
,,,,267.17
,,,,261.9
,,,,263.43
,,,,263.19
,,,,263.57
,,,,266.39
,,,,267.7
,,,,207.65
,,,,266.54
,,,,267.43
,,,,228.3
,,,,232.62
,,,,232.18
,,,,236.21
,,,,230.24
,,,,233.33
,,,,234.1
,,,,237.13
,,,,208.92
,,,,230.47
,,,,234.7
,,,,232.27
,,,,235.73
,,,,234.53
,,,,235.12
,,,,237.9
,,,,238.75
,,,,231.22
,,,,235.51
,,,,207.75
,,,,234.67
,,,,237.89
,,,,233.12
,,,,235.7
,,,,237.51
,,,,239.59
,,,,231.89
,,,,235.85
,,,,233.79
,,,,237.47
,,,,209.7
,,,,234.95
,,,,236.59
,,,,238.82
,,,,240.35
,,,,243.93
,,,,249.66
,,,,246.39
,,,,250.88
,,,,243.81
,,,,247.63
,,,,211.39
,,,,248.4
,,,,252.21
,,,,245.79
,,,,251.91
,,,,245.56
,,,,250.26
,,,,248.7
,,,,249.3
,,,,252.75
,,,,253.98
,,,,213.18
,,,,246.38
,,,,252.13
,,,,248.78
,,,,253.39
,,,,248.6
,,,,250.44
,,,,254.27
,,,,255.17
,,,,246.87
,,,,250.57
,,,,203.18
,,,,208.37
,,,,248.63
,,,,252.52
,,,,250.4
,,,,251.57
,,,,254.59
,,,,256.22
,,,,230.79
,,,,235.21
,,,,233.55
,,,,237.33
,,,,212.94
,,,,231.44
,,,,234.24
,,,,235.31
,,,,238.2
,,,,232.49
,,,,237.63
,,,,233.12
,,,,236.98
,,,,235.23
,,,,235.95
,,,,210.24
,,,,239.37
,,,,239.96
,,,,245.21
,,,,251.9
,,,,247.37
,,,,252.43
,,,,247.79
,,,,249.68
,,,,253.82
,,,,254.39
,,,,214.72
,,,,244.85
,,,,249.56
,,,,247.13
,,,,252.37
,,,,249.87
,,,,251.25
,,,,253.54
,,,,255.64
,,,,232.22
,,,,236.64
,,,,210.71
,,,,234.77
,,,,238.74
,,,,232.64
,,,,235.57
,,,,236.58
,,,,239.5
,,,,246.94
,,,,252.89
,,,,246.5
,,,,251.33
,,,,212.52
,,,,249.47
,,,,250.23
,,,,253.74
,,,,255.12
,,,,234.53
,,,,238.56
,,,,236.38
,,,,240.43
,,,,249.62
,,,,251.31
,,,,211.19
,,,,255.42
,,,,256.23
,,,,234.45
,,,,238.27
,,,,248.74
,,,,253.47
,,,,237.35
,,,,252.62
,,,,241.23
,,,,257.33
,,,,212.94
,,,,230.74
,,,,232
,,,,233.45
,,,,234.27
,,,,231
,,,,233.66
,,,,232.47
,,,,234.87
,,,,232.22
,,,,233.54
,,,,214.25
,,,,232.65
,,,,233.85
,,,,235.16
,,,,236.6
,,,,236.36
,,,,237.1
,,,,231.62
,,,,232.64
,,,,233.43
,,,,234.42
,,,,215.85
,,,,233
,,,,234.87
,,,,234.22
,,,,235.85
,,,,231.63
,,,,232.59
,,,,232.99
,,,,234.25
,,,,235.73
,,,,236.53
,,,,201.52
,,,,215.88
,,,,236.17
,,,,237.7
,,,,231.32
,,,,232.47
,,,,233.23
,,,,234.38
,,,,231.76
,,,,234.61
,,,,232.98
,,,,235.91
,,,,217.29
,,,,233.33
,,,,234.63
,,,,233.15
,,,,234.13
,,,,234.92
,,,,235.79
,,,,235.96
,,,,236.74
,,,,233.42
,,,,234.47
,,,,208.99
,,,,235.37
,,,,236.43
,,,,234.56
,,,,236.35
,,,,235.78
,,,,237.41
,,,,233.43
,,,,234.75
,,,,234.65
,,,,235.79
,,,,211.27
,,,,236.31
,,,,237.23
,,,,237.36
,,,,238.23
,,,,246.33
,,,,249.99
,,,,248.69
,,,,252.18
,,,,246.81
,,,,249.5
,,,,212.93
,,,,250.24
,,,,252.84
,,,,247.69
,,,,251.74
,,,,248.34
,,,,251.71
,,,,250.5
,,,,250.87
,,,,253.51
,,,,254.34
,,,,214.34
,,,,247.8
,,,,251.85
,,,,249.58
,,,,252.99
,,,,249.44
,,,,251.1
,,,,253.49
,,,,254.47
,,,,247.61
,,,,251.32
,,,,211.59
,,,,249.41
,,,,252.81
,,,,250.28
,,,,251.79
,,,,254.42
,,,,255.21
,,,,247.99
,,,,251.93
,,,,249.72
,,,,253.12
,,,,215.31
,,,,248.63
,,,,250.34
,,,,251.43
,,,,254.73
,,,,249.37
,,,,252.82
,,,,248.9
,,,,252.28
,,,,250.53
,,,,251.36
,,,,213.85
,,,,254.12
,,,,255.13
,,,,250.67
,,,,253.74
,,,,251.16
,,,,254.5
,,,,250.6
,,,,251.98
,,,,254.42
,,,,255.32
,,,,216.84
,,,,249.46
,,,,252.87
,,,,250.48
,,,,253.57
,,,,251.81
,,,,252.77
,,,,255.43
,,,,256.25
,,,,244.92
,,,,247.47
,,,,204.99
,,,,209.84
,,,,248.2
,,,,248.9
,,,,245.5
,,,,249.53
,,,,246.32
,,,,250.16
,,,,247.25
,,,,249.79
,,,,247.43
,,,,248.43
,,,,211.59
,,,,250.12
,,,,251.24
,,,,251.24
,,,,252.27
,,,,246.61
,,,,249.25
,,,,249.13
,,,,250.24
,,,,248.71
,,,,251.2
,,,,212.45
,,,,251.3
,,,,252.93
,,,,246.65
,,,,247.87
,,,,248.65
,,,,249.83
,,,,249.83
,,,,251.91
,,,,251.15
,,,,253.15
,,,,214.15
,,,,258.56
,,,,264.6
,,,,260.33
,,,,264.99
,,,,258.23
,,,,261.44
,,,,262.74
,,,,266.97
,,,,260.5
,,,,266.45
,,,,214.31
,,,,259.76
,,,,264.47
,,,,261.85
,,,,262.95
,,,,266.52
,,,,267.85
,,,,261.9
,,,,267.43
,,,,262.66
,,,,267.28
,,,,216.91
,,,,262.68
,,,,264.16
,,,,268.8
,,,,268.58
,,,,260.17
,,,,264.93
,,,,261.68
,,,,266.21
,,,,263.72
,,,,264.93
,,,,215.74
,,,,268.42
,,,,269.52
,,,,245.79
,,,,248.19
,,,,248.42
,,,,249.49
,,,,246.67
,,,,249.53
,,,,247.26
,,,,250.6
,,,,218.15
,,,,247.67
,,,,250.37
,,,,248.3
,,,,249.3
,,,,250.45
,,,,251.52
,,,,251.25
,,,,252.5
,,,,260.17
,,,,266.11
,,,,209.58
,,,,261.69
,,,,266.48
,,,,262.22
,,,,263.79
,,,,268.41
,,,,268.38
,,,,259.26
,,,,264.17
,,,,261.36
,,,,266.93
,,,,211.74
,,,,262.6
,,,,264.6
,,,,267.32
,,,,269.38
,,,,247.13
,,,,249.74
,,,,249.6
,,,,250.61
,,,,247.31
,,,,250.75
