check,preset,extreme,sparse,PERF
none,PRESET5,1,1,53.308
none,PRESET5,1,0,53.278
none,PRESET5,0,1,22.16
none,PRESET5,0,0,21.934
none,PRESET6,1,1,56.898
none,PRESET6,1,0,56.878
none,PRESET6,0,1,27.922
none,PRESET6,0,0,27.906
none,PRESET7,1,1,58.466
none,PRESET7,1,0,58.472
none,PRESET0,0,0,4.446
none,PRESET7,0,1,28.46
none,PRESET7,0,0,28.45
none,PRESET8,1,1,58.486
none,PRESET8,1,0,58.45
none,PRESET8,0,1,28.724
none,PRESET8,0,0,28.726
none,PRESET9,1,1,59.272
none,PRESET9,1,0,59.33
none,PRESET9,0,1,29.13
none,PRESET9,0,0,29.138
none,PRESET1,1,1,48.612
crc32,PRESET0,1,1,42.168
crc32,PRESET0,1,0,42.186
crc32,PRESET0,0,1,4.492
crc32,PRESET0,0,0,4.482
crc32,PRESET1,1,1,48.628
crc32,PRESET1,1,0,48.558
crc32,PRESET1,0,1,6.004
crc32,PRESET1,0,0,6.006
crc32,PRESET2,1,1,52.086
crc32,PRESET2,1,0,52.038
none,PRESET1,1,0,48.472
crc32,PRESET2,0,1,8.494
crc32,PRESET2,0,0,8.412
crc32,PRESET3,1,1,51.386
crc32,PRESET3,1,0,51.276
crc32,PRESET3,0,1,11.10
crc32,PRESET3,0,0,11.088
crc32,PRESET4,1,1,54.67
crc32,PRESET4,1,0,54.642
crc32,PRESET4,0,1,17.374
crc32,PRESET4,0,0,17.366
none,PRESET1,0,1,6.006
crc32,PRESET5,1,1,53.03
crc32,PRESET5,1,0,53.138
crc32,PRESET5,0,1,21.904
crc32,PRESET5,0,0,22.304
crc32,PRESET6,1,1,57.484
crc32,PRESET6,1,0,57.382
crc32,PRESET6,0,1,28.37
crc32,PRESET6,0,0,28.404
crc32,PRESET7,1,1,58.604
crc32,PRESET7,1,0,58.628
none,PRESET1,0,0,5.976
crc32,PRESET7,0,1,28.778
crc32,PRESET7,0,0,28.746
crc32,PRESET8,1,1,59.242
crc32,PRESET8,1,0,59.176
crc32,PRESET8,0,1,29.032
crc32,PRESET8,0,0,29.01
crc32,PRESET9,1,1,59.692
crc32,PRESET9,1,0,59.632
crc32,PRESET9,0,1,29.448
crc32,PRESET9,0,0,29.518
none,PRESET2,1,1,52.238
crc64,PRESET0,1,1,42.148
crc64,PRESET0,1,0,42.176
crc64,PRESET0,0,1,4.506
crc64,PRESET0,0,0,4.516
crc64,PRESET1,1,1,48.666
crc64,PRESET1,1,0,48.554
crc64,PRESET1,0,1,6.036
crc64,PRESET1,0,0,6.038
crc64,PRESET2,1,1,52.146
crc64,PRESET2,1,0,52.146
none,PRESET2,1,0,52.052
crc64,PRESET2,0,1,8.654
crc64,PRESET2,0,0,8.664
crc64,PRESET3,1,1,51.486
crc64,PRESET3,1,0,51.494
crc64,PRESET3,0,1,11.206
crc64,PRESET3,0,0,11.246
crc64,PRESET4,1,1,54.492
crc64,PRESET4,1,0,54.722
crc64,PRESET4,0,1,17.53
crc64,PRESET4,0,0,17.514
