check,preset,extreme,sparse,PERF
none,PRESET1,1,1,74.202
crc32,PRESET0,1,1,63.73
crc32,PRESET0,1,0,63.882
crc32,PRESET0,0,1,9.00
crc32,PRESET0,0,0,9.024
crc32,PRESET1,1,1,74.19
crc32,PRESET1,1,0,74.206
crc32,PRESET1,0,1,13.112
crc32,PRESET1,0,0,13.094
crc32,PRESET2,1,1,78.836
crc32,PRESET2,1,0,78.80
none,PRESET1,1,0,74.276
crc32,PRESET2,0,1,17.324
crc32,PRESET2,0,0,17.284
crc32,PRESET3,1,1,77.984
crc32,PRESET3,1,0,77.918
crc32,PRESET3,0,1,22.728
crc32,PRESET3,0,0,22.68
crc32,PRESET4,1,1,84.708
crc32,PRESET4,1,0,83.408
crc32,PRESET4,0,1,30.244
crc32,PRESET4,0,0,30.19
none,PRESET1,0,1,13.04
crc32,PRESET5,1,1,80.39
crc32,PRESET5,1,0,80.358
crc32,PRESET5,0,1,36.406
crc32,PRESET5,0,0,36.454
crc32,PRESET6,1,1,87.124
crc32,PRESET6,1,0,87.178
crc32,PRESET6,0,1,44.436
crc32,PRESET6,0,0,44.398
crc32,PRESET7,1,1,91.076
crc32,PRESET7,1,0,90.156
none,PRESET1,0,0,13.028
crc32,PRESET7,0,1,45.088
crc32,PRESET7,0,0,45.15
crc32,PRESET8,1,1,91.264
crc32,PRESET8,1,0,91.12
crc32,PRESET8,0,1,45.576
crc32,PRESET8,0,0,45.558
crc32,PRESET9,1,1,92.15
crc32,PRESET9,1,0,92.07
crc32,PRESET9,0,1,46.434
crc32,PRESET9,0,0,46.434
none,PRESET2,1,1,78.712
crc64,PRESET0,1,1,63.86
crc64,PRESET0,1,0,63.936
crc64,PRESET0,0,1,9.234
crc64,PRESET0,0,0,9.102
crc64,PRESET1,1,1,74.28
crc64,PRESET1,1,0,74.276
crc64,PRESET1,0,1,13.154
crc64,PRESET1,0,0,13.138
crc64,PRESET2,1,1,78.98
crc64,PRESET2,1,0,78.846
none,PRESET2,1,0,78.842
crc64,PRESET2,0,1,17.392
crc64,PRESET2,0,0,17.39
crc64,PRESET3,1,1,77.99
crc64,PRESET3,1,0,77.918
crc64,PRESET3,0,1,22.776
crc64,PRESET3,0,0,22.80
crc64,PRESET4,1,1,82.94
crc64,PRESET4,1,0,83.296
crc64,PRESET4,0,1,30.238
crc64,PRESET4,0,0,30.236
