N,N2,N3,M,All
,3325,5216,5241,
,4898,3512,5338,
,2986,3216,5091,
,3138,4898,4915,
,14710,4915,5361,
,4787,14761,2960,
,4897,5510,5235,
,14785,5263,5468,
,16351,3333,3428,
,4943,5316,5230,
,5361,16442,5314,
,3157,4913,,
,5350,3325,,
,5462,5499,,
,5356,4705,,
,3065,5309,,
,4907,5207,,
,16401,5235,,
,3258,3065,,
,5328,5465,,
,5468,3512,,
,3216,3429,,
,16399,5486,,
,5289,4915,,
,5216,14727,,
,3155,14580,,
,3165,5419,,
,16442,16479,,
,5220,5233,,
,5465,3412,,
,3303,5339,,
,,14852,,
,,3165,,
,,5435,,
,,4669,,
,,3605,,
,,3089,,
,,5432,,
,,3249,,
,,3269,,
,,3153,,
,,5343,,
,,3216,,
,,5494,,
,,4897,,
,,3161,,
,,5091,,
,,5387,,
,,5468,,
,,3398,,
,,3358,,
,,3269,,
,,5230,,
,,5449,,
,,4698,,
,,14656,,
,,14638,,
,,14786,,
,,14744,,
,,5194,,
,,4953,,
,,16399,,
,,3517,,
,,5256,,
,,3428,,
,,5508,,
,,5045,,
,,3058,,
,,4787,,
,,5356,,
,,5548,,
,,5462,,
,,14785,,
,,3138,,
,,4668,,
,,3185,,
,,4898,,
,,5365,,
,,5502,,
,,4879,,
,,3303,,
,,5328,,
,,4714,,
,,4668,,
,,3258,,
,,5231,,
,,14694,,
,,5241,,
,,5502,,
,,5457,,
,,5289,,
,,3106,,
,,14786,,
,,5499,,
,,5339,,
,,3303,,
,,4957,,
,,3161,,
,,5365,,
,,3171,,
,,5350,,
,,3605,,
,,14905,,
,,3333,,
,,16446,,
,,5091,,
,,14727,,
,,14685,,
,,4792,,
,,5468,,
,,5328,,
,,5361,,
,,3157,,
,,5090,,
,,5548,,
,,5314,,
,,4897,,
,,14594,,
,,5463,,
,,16401,,
,,3165,,
,,16342,,
,,3314,,
,,3269,,
,,5467,,
,,4913,,
,,5241,,
,,14653,,
,,3269,,
,,5233,,
,,3451,,
,,3263,,
,,5310,,
,,3457,,
,,14761,,
,,3271,,
,,3138,,
,,16351,,
,,3235,,
,,5449,,
,,5304,,
,,2986,,
,,5420,,
,,3412,,
,,5309,,
,,5228,,
,,14580,,
,,5194,,
,,4915,,
,,14638,,
,,5263,,
,,4879,,
,,5316,,
,,3182,,
,,5390,,
,,5328,,
,,5421,,
,,4894,,
,,5186,,
,,5338,,
,,3085,,
