N,N2,N3,M,All
,0.5813,10.7378,37.6032,10.8904
,37.8248,0.5265,37.654,0.4838
,0.5135,37.6059,19.9344,3.2375
,0.5288,10.7564,0.9438,10.7315
,0.7619,2.1563,20.0188,0.7508
,21.2577,38.9998,0.4638,10.9221
,3.2373,37.7296,10.7185,0.4967
,2.0236,0.4498,0.5101,0.7521
,0.7378,10.7374,21.3178,10.7335
,2.0831,0.4851,21.2788,10.9093
,0.509,0.5101,0.5372,0.503
,0.7731,37.7801,19.991,10.7319
,19.9508,1.2633,2.1149,0.4972
,19.9344,37.7435,37.6538,0.366
,21.2006,2.0997,0.4521,2.0237
,0.7684,0.5158,0.5774,10.7332
,10.733,2.1395,37.6641,0.764
,0.5371,0.3617,10.9124,0.7483
,0.6459,0.9242,0.627,10.9014
,21.2317,0.9338,5.8299,10.9178
,1.2548,2.0435,0.4481,0.5088
,5.8593,0.3917,19.9631,10.7223
,2.1548,0.6153,2.0332,0.7793
,0.5127,5.8299,0.5217,10.9249
,2.07,2.1559,0.4308,0.515
,5.8455,0.9234,10.9129,3.2834
,1.2542,0.5016,10.8926,0.7731
,1.2574,38.8701,0.5172,10.7131
,0.4997,38.8176,1.2557,10.9349
,0.3885,2.1108,10.913,0.5129
,5.8542,0.5135,10.9115,10.7335
,38.8527,5.8353,19.9904,0.5189
,19.9132,1.3135,10.7305,10.7103
,20.0097,0.7508,38.9634,0.7822
,10.7399,1.2497,1.3066,0.7768
,5.8378,10.7335,3.2492,10.9381
,2.3983,2.0279,0.4542,2.0863
,10.9054,0.5124,10.7624,10.904
,6.5038,10.7319,3.2471,0.4982
,10.9189,20.0257,3.2226,10.7372
,38.9775,21.2016,21.2809,0.7417
,0.525,0.3825,6.5214,10.8987
,5.8528,1.2693,1.2519,0.5002
,0.5155,0.5682,0.5181,0.7512
,6.5101,10.9543,10.9427,10.7378
,6.5093,39.0532,0.7715,10.9309
,37.6677,6.5273,0.5204,0.5129
,10.8897,37.6997,5.8275,0.5273
,21.2105,37.5656,2.035,10.7366
,0.6459,2.1547,0.9292,0.518
,10.9006,0.569,2.1485,10.7374
,21.2449,0.7378,10.7398,0.7537
,0.7476,1.2546,10.7517,0.7596
,0.6316,0.9273,38.9938,10.9177
,2.4085,2.1693,0.5171,10.9228
,0.366,3.2492,0.7531,0.5016
,0.6366,0.4986,20.0148,10.7347
,10.9581,10.9162,21.252,0.7465
,0.7417,0.4989,0.926,0.58
,5.8457,0.5759,0.5273,10.9041
,6.5121,20.0148,21.2198,0.5209
,0.7531,0.3695,0.5005,0.7577
,0.4982,10.7475,37.6792,10.7136
,0.6571,0.4545,0.5172,10.9232
,2.1014,37.656,0.4482,0.4934
,39.0525,0.5315,3.2291,10.7213
,0.6356,0.5046,2.0293,0.5214
,0.3861,3.2768,3.2852,10.7295
,38.9673,0.6237,20.0103,0.7496
,21.2784,6.5378,10.9563,3.2328
,1.2486,0.4308,5.8231,0.7534
,0.6447,2.0997,10.9035,10.9114
,0.7606,10.7426,0.5217,10.9075
,0.5386,0.515,0.3879,0.482
,0.7761,38.8212,10.7189,10.7529
,0.6466,1.3119,0.4991,0.7495
,19.9789,2.3648,0.462,10.9172
,0.7755,0.4997,21.2957,0.4997
,10.9124,0.5144,5.8711,0.7521
,3.2097,19.9491,0.9176,10.7496
,0.7534,10.7275,2.1719,3.271
,,0.4498,0.9248,10.9169
,,5.813,2.0846,0.513
,,1.3055,20.0173,10.7222
,,10.741,10.945,0.4987
,,0.7511,0.6435,10.7394
,,10.9178,37.6404,0.754
,,2.0204,0.5149,0.7522
,,0.5127,0.3696,10.8961
,,10.733,0.7732,10.9026
,,37.5822,0.6446,0.5019
,,21.2343,10.7522,0.5216
,,10.9363,19.9973,10.7252
,,0.7522,0.9261,0.7324
,,2.0378,0.9166,10.8897
,,37.7028,2.0809,0.4989
,,21.2877,0.5102,0.7428
,,0.518,0.775,10.741
,,0.7472,6.522,10.8977
,,10.7228,19.94,0.5068
,,0.9257,0.3908,10.7305
,,5.8503,1.2566,0.4969
,,19.9323,2.0874,3.2125
,,0.9301,10.9212,10.7189
,,0.6446,0.5681,0.7476
,,1.2546,2.1675,0.7476
,,0.6312,10.8904,10.9226
,,0.51,0.629,10.9066
,,21.2399,1.3044,0.4851
,,3.2193,0.6352,10.7431
,,0.4981,3.2875,0.7504
,,37.769,0.6444,10.9193
,,5.8231,1.3123,0.497
,,37.6488,0.513,0.5833
,,1.3134,0.3701,0.7531
,,0.5111,0.3617,10.7301
,,39.0244,39.0379,10.913
,,21.2548,6.5093,0.5005
,,2.0428,0.5058,10.7358
,,0.5022,6.5338,0.5019
,,5.8275,0.7524,10.7345
,,0.366,19.978,0.7444
,,2.0202,10.9212,0.749
,,2.0831,6.5038,10.8982
,,1.3172,0.5081,0.3908
,,0.5248,0.6255,3.2853
,,37.7489,0.497,10.9339
,,10.7357,20.0097,0.5059
,,0.4747,6.538,10.7322
,,0.6355,0.9321,0.7601
,,0.3664,0.3625,10.8994
,,2.4023,2.4023,0.5035
,,6.5211,6.5491,0.7459
,,21.2497,0.6432,10.7305
,,6.5306,2.1051,10.9035
,,2.0704,3.2801,0.4987
,,37.797,1.2558,0.3629
,,0.6317,0.5282,10.7313
,,21.1878,0.7768,0.4942
,,0.6339,2.1505,10.7214
,,0.5789,2.1103,0.7493
,,0.5215,37.771,0.7511
,,19.9962,19.9767,10.9183
,,0.9338,1.266,10.9184
,,21.2105,10.7519,0.5068
,,0.9234,0.5209,10.733
,,0.5129,37.7478,0.7731
,,0.5081,2.1343,0.3855
,,5.8451,5.8387,10.9376
,,0.3825,6.5162,0.51
,,21.2099,37.5621,0.7742
,,2.3697,0.952,10.7338
,,0.5667,0.5288,10.9108
,,0.5079,10.7481,0.5206
,,21.298,10.749,10.7237
,,1.3164,0.7476,0.5153
,,0.5672,3.2375,10.7266
,,0.5147,2.3905,0.775
,,38.9345,0.5007,0.3734
,,0.6326,38.9308,0.7767
,,0.5288,0.6431,10.9581
,,0.5266,10.9183,10.9368
,,2.1395,0.6306,0.5065
,,0.3835,0.6371,10.7131
,,21.2265,19.9822,0.7767
,,6.5264,10.7237,10.9231
,,37.8136,0.3883,0.514
,,10.9169,2.1847,0.774
,,37.6488,0.5163,10.7181
,,2.1393,0.5809,0.4019
,,1.2693,0.5216,10.9373
,,,37.6527,0.5123
,,,2.1691,10.7323
,,,19.9646,0.5199
,,,0.7511,10.7133
,,,2.1619,0.7822
,,,21.2474,0.7765
,,,0.5236,10.938
,,,0.5151,10.9089
,,,6.5319,0.5114
,,,0.626,2.0307
,,,37.8014,10.7003
,,,38.9938,0.7522
,,,3.2834,10.8962
,,,0.9425,0.5182
,,,3.199,0.7652
,,,10.7514,10.7065
,,,2.0613,10.9115
,,,10.7266,0.5131
,,,2.3936,10.7357
,,,37.6527,0.5169
,,,0.6447,2.0416
,,,2.0251,10.7325
,,,21.265,0.7519
,,,0.5141,0.7546
,,,0.7387,10.9124
,,,19.9742,10.9198
,,,21.2854,0.5206
,,,1.2585,10.6981
,,,6.5153,0.7549
,,,0.5212,10.9387
,,,0.4638,0.5232
,,,0.9206,2.0606
,,,10.955,0.7566
,,,6.5336,10.7401
,,,0.5144,10.9626
,,,10.8925,0.5235
,,,0.5797,10.7701
,,,2.0751,0.521
,,,2.0194,10.7482
,,,0.9492,0.7547
,,,10.7235,0.7594
,,,3.3196,10.9247
,,,3.2385,2.0772
,,,0.6444,10.9305
,,,37.7809,0.4856
,,,0.3763,0.7536
,,,10.9346,0.5003
,,,20.0119,0.7524
,,,0.9259,0.5127
,,,5.8309,0.4976
,,,0.5291,0.7684
,,,5.8593,0.7491
,,,2.1564,0.5088
,,,0.5213,0.5044
,,,0.6314,0.7378
,,,0.5132,0.5046
,,,0.95,0.7459
,,,5.8455,0.5064
,,,2.0403,0.4987
,,,0.5172,0.7508
,,,0.6337,0.7511
,,,6.5049,0.5101
,,,0.3837,0.7764
,,,38.9837,0.5121
,,,10.9268,3.2609
,,,3.2881,0.5823
,,,5.813,0.7819
,,,2.0289,0.515
,,,0.6391,0.5202
,,,0.9484,0.7586
,,,5.8586,0.7692
,,,0.5057,0.5277
,,,1.2633,0.7755
,,,0.6356,0.5215
,,,1.2566,0.7601
,,,1.3105,0.5203
,,,0.5044,3.252
,,,10.9305,0.526
,,,0.9212,0.7751
,,,19.9844,0.7472
,,,39.0424,10.7814
,,,0.9247,10.9212
,,,2.0185,10.7688
,,,0.6347,10.9212
,,,0.6389,10.7229
,,,1.307,10.7354
,,,38.9368,10.9157
,,,0.6176,3.3019
,,,0.6412,10.9281
,,,0.4475,10.7514
,,,6.5416,10.935
,,,0.7566,10.7454
,,,10.7396,10.9427
,,,10.741,10.7475
,,,0.3825,10.7624
,,,2.1411,10.9365
,,,0.9158,10.938
,,,6.5312,10.7291
,,,0.509,0.3681
,,,0.3908,10.8925
,,,0.753,10.7427
,,,6.525,10.9476
,,,5.8719,10.7266
,,,1.2665,10.7396
,,,10.7358,10.9197
,,,0.5199,10.9305
,,,0.58,10.7591
,,,0.6271,10.9194
,,,5.8435,10.7028
,,,10.9363,2.0286
,,,0.6326,10.9066
,,,5.8596,10.7224
,,,19.9261,10.7522
,,,10.7323,10.9261
,,,2.1563,10.9242
,,,0.3734,0.4852
,,,38.9854,0.7485
,,,2.0318,0.4967
,,,0.3892,0.7438
,,,6.5274,0.5058
,,,0.4603,0.3861
,,,5.8444,0.4982
,,,38.9276,0.7606
,,,0.5275,0.7475
,,,3.239,0.4997
,,,21.298,0.7471
,,,0.4545,0.5054
,,,0.5174,0.7457
,,,5.8318,0.5038
,,,0.5738,0.4929
,,,0.9242,0.7525
,,,10.7295,2.0806
,,,3.2354,0.7508
,,,6.5152,10.7411
,,,0.7403,10.9302
,,,0.3825,10.7539
,,,3.2042,10.9251
,,,2.0668,10.7378
,,,0.925,10.7327
,,,2.1693,10.8905
,,,10.7242,10.9396
,,,5.8404,10.7587
,,,10.9186,0.5205
,,,21.2016,10.9214
,,,0.4525,10.7555
,,,38.9026,10.9268
,,,2.1795,10.7379
,,,3.2605,10.7184
,,,2.4045,10.939
,,,5.8584,10.9363
,,,20.0124,0.5098
,,,2.0202,0.7823
,,,10.9365,0.5123
,,,0.9176,0.5701
,,,0.6247,0.79
,,,2.1675,0.5161
,,,19.9787,0.5184
,,,1.3081,0.7761
,,,0.9254,0.777
,,,21.2615,10.717
,,,2.3648,10.9186
,,,0.3957,10.7476
,,,5.8457,10.9678
,,,0.9542,10.7228
,,,0.5738,0.3671
,,,6.5006,10.7386
,,,2.0378,10.955
,,,3.2663,10.9061
,,,10.9183,0.5172
,,,0.5663,0.755
,,,0.4967,0.5204
,,,10.7475,0.7662
,,,0.6269,10.7512
,,,0.755,10.7489
,,,0.6332,10.9362
,,,5.8257,2.0421
,,,37.763,0.3938
,,,10.7305,10.9401
,,,37.802,0.5227
,,,37.7809,0.7592
,,,5.8252,10.742
,,,0.4787,10.9242
,,,5.8237,0.5219
,,,21.2163,10.7534
,,,0.5131,0.7576
,,,2.0665,10.9169
,,,6.531,0.4803
,,,3.2267,3.2549
,,,2.0421,0.4982
,,,10.7515,0.5117
,,,0.7765,0.4986
,,,3.2688,0.5007
,,,3.2379,0.4997
,,,5.8511,0.5059
,,,0.9257,0.4981
,,,2.1063,0.5096
,,,0.3675,0.5103
,,,21.2474,0.5125
,,,0.749,2.0436
,,,5.8705,0.5182
,,,2.1393,0.5237
,,,0.9276,0.5228
,,,3.2875,0.5184
,,,37.8238,0.5254
,,,0.9215,0.4859
,,,0.3552,0.4992
,,,0.5382,0.5079
,,,0.6237,0.4975
,,,2.0882,0.5055
,,,39.085,3.2851
,,,5.8422,0.5154
,,,1.2554,0.5102
,,,39.006,0.5192
,,,0.4859,0.5012
,,,5.8333,0.5008
,,,0.5841,0.513
,,,20.0188,0.5183
,,,0.4067,0.5058
,,,0.5111,0.5227
,,,37.7288,0.4933
,,,21.2895,2.0653
,,,0.6333,0.5204
,,,2.0668,0.7509
,,,5.8314,0.7435
,,,6.5194,0.7537
,,,38.8241,0.7485
,,,5.8622,0.7326
,,,10.9066,0.7387
,,,1.3105,0.7479
,,,10.9305,0.747
,,,6.5093,0.7503
,,,21.2706,0.5346
,,,37.6404,0.7494
,,,0.5292,0.7403
,,,0.6439,0.7514
,,,0.6438,0.7619
,,,0.7726,0.7437
,,,0.4753,0.7482
,,,6.5374,0.7546
,,,39.017,0.7724
,,,1.3138,0.7747
,,,37.827,0.7732
,,,3.2328,0.5819
,,,0.3625,0.7844
,,,0.9196,0.78
,,,10.8977,0.7846
,,,10.7252,0.7836
,,,0.6355,0.7753
,,,0.4987,0.7528
,,,2.072,0.7656
,,,3.2391,0.7531
,,,5.8612,0.7597
,,,2.088,0.7572
,,,19.9712,3.2097
,,,21.2757,0.7566
,,,10.7633,0.7496
,,,1.3044,0.753
,,,19.9572,10.7515
,,,21.2629,10.7633
,,,3.3045,10.744
,,,5.8455,10.7564
,,,0.6371,10.7563
,,,2.037,10.7471
,,,0.9211,10.732
,,,5.8412,3.2797
,,,10.9061,10.7235
,,,5.8331,10.7423
,,,2.1604,10.7279
,,,2.3738,10.7016
,,,0.7495,10.7153
,,,0.5088,10.7295
,,,19.9533,10.7034
,,,5.8318,10.7378
,,,38.8024,10.749
,,,0.5194,10.9151
,,,2.0874,0.5273
,,,1.2534,10.9346
,,,19.9687,10.9222
,,,6.5378,10.9129
,,,0.5255,10.9543
,,,10.9014,10.9563
,,,0.5401,10.9266
,,,10.7214,10.9456
,,,0.5136,10.8937
,,,0.6443,10.9294
,,,0.5174,10.9013
,,,0.9272,3.2865
,,,2.3944,3.2251
,,,2.4023,10.9392
,,,5.8378,10.9181
,,,0.5155,10.9162
,,,3.286,10.9037
,,,6.514,10.8918
,,,21.1748,10.7399
,,,10.7396,10.741
,,,20.0103,10.7519
,,,0.5127,10.7588
,,,5.8315,10.756
,,,37.849,0.5789
,,,3.2672,10.7352
,,,0.5214,10.7481
,,,0.9146,10.7419
,,,0.5271,10.9301
,,,5.8223,10.9352
,,,0.6275,10.9177
,,,0.6454,10.952
,,,0.9276,10.9006
,,,10.7591,10.9022
,,,10.7131,10.9189
,,,10.9305,3.2852
,,,2.1361,10.9202
,,,6.5151,10.7185
,,,0.7684,10.7379
,,,0.6396,10.7161
,,,0.526,10.7185
,,,0.4789,10.9241
,,,3.2085,10.945
,,,6.5336,10.9552
,,,10.7515,10.9383
,,,10.9054,10.7422
,,,0.9139,0.3701
,,,2.0746,10.7381
,,,2.1159,10.9155
,,,2.3785,10.9415
,,,0.7594,10.7345
,,,0.4972,10.9227
,,,0.7536,10.7275
,,,1.2665,10.9285
,,,19.9742,0.6176
,,,0.6469,1.2569
,,,0.4768,0.6315
,,,0.7753,0.3844
,,,1.2577,1.261
,,,6.5101,0.6435
,,,0.7761,0.6306
,,,38.9351,1.2543
,,,0.5679,1.2427
,,,39.0284,0.6337
,,,0.528,1.2416
,,,0.4718,0.6305
,,,1.2546,1.2515
,,,0.5382,0.6383
,,,0.9096,0.3552
,,,10.8977,0.6275
,,,10.9093,1.2515
,,,6.526,1.2499
,,,1.3044,0.6342
,,,0.5184,1.3076
,,,0.6474,0.6404
,,,37.8248,1.3112
,,,0.3701,0.6384
,,,37.8248,0.6432
,,,0.5271,1.2585
,,,21.2141,0.3872
,,,21.2725,1.2733
,,,5.8412,0.6571
,,,3.2875,1.3081
,,,0.4967,0.647
,,,2.1384,1.2775
,,,19.9208,0.6542
,,,21.2317,0.6492
,,,0.3676,1.3083
,,,0.4367,1.2554
,,,2.147,0.6181
,,,0.4856,2.0342
,,,0.7844,1.2566
,,,0.4852,0.6332
,,,2.0988,1.2578
,,,19.9572,0.6403
,,,37.7721,0.6287
,,,0.3875,1.2675
,,,0.5022,1.248
,,,20.0119,0.6366
,,,0.7475,1.3105
,,,0.7768,0.6435
,,,2.0315,2.039
,,,0.5789,1.3097
,,,0.6332,0.6459
,,,19.9721,0.6489
,,,0.518,1.3164
,,,0.4428,1.3055
,,,3.2226,0.6307
,,,21.2602,1.2546
,,,3.3045,0.6332
,,,0.4664,1.262
,,,19.9533,0.6361
,,,0.7485,2.0878
,,,19.9812,0.6389
,,,39.0336,1.2611
,,,37.6825,1.2558
,,,1.2557,0.6315
,,,2.0916,1.2572
,,,0.7692,0.6435
,,,2.1472,1.2665
,,,0.4434,0.6237
,,,0.9211,0.6412
,,,20.0124,1.2686
,,,0.5059,2.0661
,,,21.2343,2.0853
,,,0.5215,1.2575
,,,0.9473,20.0033
,,,0.6414,21.2565
,,,37.6792,19.9824
,,,0.9129,21.2449
,,,0.3536,19.9645
,,,0.5098,20.0319
,,,0.4674,21.264
,,,0.5693,21.2768
,,,10.9456,19.9746
,,,1.2733,0.5044
,,,10.7357,21.2188
,,,5.854,20.0124
,,,2.3936,21.2265
,,,0.4762,20.0014
,,,0.5204,19.9962
,,,1.2437,21.2706
,,,37.6059,21.2389
,,,21.2773,20.0257
,,,38.8694,21.2913
,,,2.0894,20.0028
,,,19.9822,0.5693
,,,39.085,21.2652
,,,0.5003,19.9844
,,,2.1595,20.0094
,,,0.7482,21.2192
,,,,21.3091
,,,,19.9848
,,,,21.2395
,,,,19.977
,,,,21.2343
,,,,20.0207
,,,,3.2462
,,,,19.9735
,,,,21.2629
,,,,21.2932
,,,,19.9609
,,,,21.2656
,,,,19.9645
,,,,21.2864
,,,,19.9973
,,,,19.9973
,,,,21.2842
,,,,3.2768
,,,,21.2458
,,,,19.9701
,,,,21.2481
,,,,19.9261
,,,,21.2985
,,,,19.9904
,,,,19.9532
,,,,21.2713
,,,,21.2488
,,,,19.9129
,,,,0.3695
,,,,21.1927
,,,,19.9085
,,,,21.199
,,,,19.9323
,,,,19.9208
,,,,21.2105
,,,,21.2463
,,,,19.9286
,,,,21.2016
,,,,19.9232
,,,,2.0428
,,,,21.2674
,,,,19.9569
,,,,19.9592
,,,,21.1766
,,,,21.1746
,,,,0.6127
,,,,1.2525
,,,,0.6293
,,,,1.2475
,,,,0.6405
,,,,0.3889
,,,,0.6299
,,,,1.258
,,,,1.2439
,,,,0.632
,,,,1.2437
,,,,0.6314
,,,,1.2507
,,,,0.6378
,,,,0.626
,,,,1.2534
,,,,2.0686
,,,,1.2529
,,,,0.6334
,,,,1.3044
,,,,0.6412
,,,,1.3028
,,,,0.6355
,,,,0.6414
,,,,1.2551
,,,,1.2688
,,,,0.6515
,,,,0.5315
,,,,1.3134
,,,,0.6474
,,,,1.2756
,,,,0.6504
,,,,0.6538
,,,,1.3123
,,,,1.2627
,,,,20.0178
,,,,21.2528
,,,,20.0216
,,,,0.5356
,,,,0.5833
,,,,21.2837
,,,,20.0015
,,,,20.0246
,,,,21.2438
,,,,21.2393
,,,,19.9953
,,,,21.2957
,,,,20.0119
,,,,21.2827
,,,,19.9914
,,,,0.3758
,,,,19.9962
,,,,21.2548
,,,,21.223
,,,,19.9648
,,,,21.2486
,,,,20.0148
,,,,21.3124
,,,,19.9054
,,,,19.9046
,,,,21.1898
,,,,0.383
,,,,21.2036
,,,,19.9845
,,,,21.2206
,,,,19.9297
,,,,21.2341
,,,,20.0188
,,,,19.9468
,,,,21.2577
,,,,21.1748
,,,,0.6146
,,,,3.2234
,,,,1.2577
,,,,0.6317
,,,,1.2572
,,,,0.6414
,,,,0.6291
,,,,1.2693
,,,,1.2496
,,,,0.6333
,,,,1.2568
,,,,0.6326
,,,,2.0373
,,,,1.2574
,,,,0.6345
,,,,0.6271
,,,,1.266
,,,,1.2713
,,,,20.0118
,,,,21.304
,,,,19.9743
,,,,21.274
,,,,20.0204
,,,,3.2821
,,,,20.0147
,,,,21.2103
,,,,21.3011
,,,,19.9921
,,,,21.2317
,,,,19.9687
,,,,21.2757
,,,,20.0191
,,,,19.9812
,,,,21.292
,,,,2.0831
,,,,21.2474
,,,,0.6326
,,,,1.3114
,,,,0.6391
,,,,1.3058
,,,,0.6428
,,,,0.6481
,,,,1.3117
,,,,1.3062
,,,,19.9572
,,,,0.5211
,,,,21.2739
,,,,19.9874
,,,,21.2562
,,,,19.9344
,,,,19.9712
,,,,21.272
,,,,21.2309
,,,,0.6344
,,,,1.2616
,,,,0.6422
,,,,0.5681
,,,,1.2548
,,,,19.9344
,,,,19.9225
,,,,21.2426
,,,,21.2509
,,,,0.6454
,,,,1.2669
,,,,19.8986
,,,,21.2664
,,,,0.6431
,,,,3.2503
,,,,19.9643
,,,,1.2666
,,,,21.198
,,,,0.6161
,,,,0.6317
,,,,0.6444
,,,,0.6312
,,,,0.6447
,,,,0.6347
,,,,0.6399
,,,,0.5875
,,,,3.2932
,,,,0.6269
,,,,0.64
,,,,0.6433
,,,,0.6413
,,,,0.6439
,,,,0.6507
,,,,0.645
,,,,0.646
,,,,0.6466
,,,,0.6153
,,,,0.5248
,,,,0.627
,,,,0.6371
,,,,0.6247
,,,,0.6376
,,,,0.6433
,,,,0.6446
,,,,0.647
,,,,0.6284
,,,,0.6339
,,,,0.6358
,,,,3.2315
,,,,0.6412
,,,,0.6316
,,,,0.6443
,,,,0.6255
,,,,0.6431
,,,,1.2534
,,,,1.2462
,,,,1.2526
,,,,1.2448
,,,,1.2467
,,,,0.5797
,,,,1.257
,,,,1.2577
,,,,1.2554
,,,,1.2577
,,,,1.2575
,,,,1.2584
,,,,1.2665
,,,,1.2694
,,,,1.2604
,,,,1.2426
,,,,3.2688
,,,,1.2665
,,,,1.3066
,,,,1.3119
,,,,1.3046
,,,,1.3047
,,,,1.3077
,,,,1.3092
,,,,1.309
,,,,1.3084
,,,,1.2558
,,,,0.3693
,,,,1.2699
,,,,1.2633
,,,,1.2554
,,,,1.2708
,,,,1.2686
,,,,1.2566
,,,,1.2596
,,,,20.0014
,,,,19.9877
,,,,20.0065
,,,,0.3957
,,,,20.0278
,,,,20.0014
,,,,20.0248
,,,,19.9724
,,,,20.0097
,,,,19.9786
,,,,19.9822
,,,,19.9278
,,,,19.9483
,,,,19.9786
,,,,0.3637
,,,,19.9316
,,,,19.9787
,,,,19.9497
,,,,21.2606
,,,,21.2399
,,,,21.2725
,,,,21.2868
,,,,21.2939
,,,,21.2473
,,,,21.2736
,,,,0.3898
,,,,21.2654
,,,,21.252
,,,,21.3178
,,,,21.2006
,,,,21.2099
,,,,21.2615
,,,,21.2343
,,,,21.2428
,,,,21.2034
,,,,20.0319
,,,,2.0415
,,,,20.0103
,,,,20.0173
,,,,19.9986
,,,,19.978
,,,,19.9736
,,,,19.9716
,,,,19.9767
,,,,21.2788
,,,,21.293
,,,,21.2577
,,,,3.207
,,,,2.036
,,,,21.3141
,,,,21.2859
,,,,21.2639
,,,,21.2861
,,,,21.2854
,,,,19.9112
,,,,19.9508
,,,,19.9631
,,,,19.9721
,,,,21.2663
,,,,2.0922
,,,,21.2535
,,,,21.2521
,,,,21.2325
,,,,19.9297
,,,,19.927
,,,,21.2198
,,,,21.2409
,,,,19.9186
,,,,21.2475
,,,,19.965
,,,,2.0668
,,,,21.2141
